title ,text,subject,date
Air Nanas Panas dapat Membunuh Sel Kanker,"Air Nanas panas. tolong sebarkan !! tolong sebarkan !! Profesor Khairul Huseinn dari Rumah Sakit Umum Angkatan Darat Jakarta menekankan bahwa jika setiap orang yang menerima buletin ini dapat meneruskan sepuluh salinan kepada orang lain’, pasti setidaknya satu kehidupan akan diselamatkan … Saya telah melakukan bagian saya, semoga Anda juga dapat membantu bagian Anda. terima kasih! Air nanas panas bisa menyelamatkan Anda seumur hidup Lihatlah lagi, lalu beri tahu yang lain, Sebarkan cinta keluar! Nanas panas ~ dapat membunuh sel kanker! Potong 2 hingga 3 serpihan nanas tipis dalam secangkir, tambahkan air panas, itu akan menjadi “air alkali”, tunggu hingga dingin kmudian minum. minum setiap hari, itu baik untuk siapa saja. Air nanas panas melepaskan zat anti kanker, yang merupakan kemajuan terbaru dalam pengobatan kanker yang efektif di bidang medis. Sari buah nanas panas memiliki efek untuk membunuh kista dan tumor. Terbukti untuk memperbaiki semua jenis kanker. Air nanas panas dapat membunuh semua kuman dan racun dari dalam tubuh akibat dari alergi Jenis pengobatan dengan ekstrak nanas hanya menghancurkan sel-sel ganas, itu tidak mempengaruhi sel-sel sehat. Selain itu, asam amino dan polifenol nanas dalam jus nanas dapat mengatur tekanan darah tinggi, efektif mencegah penyumbatan pembuluh darah dalam, menyesuaikan sirkulasi darah dan mengurangi pembekuan darah. Setelah membaca, beri tahu yang lain, keluarga, teman, sebarkan cinta! Jaga kesehatan Anda sendiri. (DR. dr. Rahyussalim, SpOT) FK UI",Kesehatan,2023
Putri Candrawati Mengakhiri Hidup di Penjara,"INALILLAHI, Putri Candrawati Mengakhiri Hidupnya Sendiri di Penjara. Inilah Wasiat Terakhirnya",Lain-lain,2023
CEO Pfizer Batal ke Luar Negeri Karena Belum Divaksinasi Lengkap,"CEO Pfizer harus membatalkan rencana perjalanan ke Israel karena belum divaksinasi secara lengkap. Biarkan saya ulangi: KARENA DIA TIDAK DIVaksinasi. Ini bukan lelucon. Namun, lelucon itu ada pada kita.",Kesehatan,2023
Foto Banyak Orang Mengantre Sampai Ada yang Pingsan untuk Beli Jam Jepang di Mall Grand Indonesia,"????Ya Tuhan, banyak sekali orang pingsan di mal di Jakarta. Semuanya harap segera pulang Baru saja memasuki tahun baru, namun sebuah kejadian mengerikan menimpa masyarakat Indonesia??. Kemarin, brand jam tangan ternama asal Jepang Osazuki membuka cabang pertamanya di Jakarta. Untuk merayakan pembukaan dan tahun baru, toko tersebut memutuskan untuk memberikan diskon 50%, khususnya paket kombo yang menarik beli 1 gratis 1 hanya dengan Rp749.000 (dihitung kurang dari Rp400.000/1 buah)??. Orang-orang sangat antusias dengan promosi ini dan datang ke sini dalam jumlah besar. Saya juga datang sangat awal dan masih harus mengantri lebih dari 4 jam untuk membeli. Situasi semakin parah karena banyak orang pingsan karena kelelahan dan kekurangan oksigen?? Menyadari bahwa insiden tersebut terlalu serius, toko tersebut mengumumkan penjualan dan diskon online di beranda. Mereka tetap menerapkan promosi 50% beli 1 gratis 1 dan gratis ongkos kirim??. Perusahaan menyarankan orang untuk membeli secara online untuk menghindari antrean dan menghindari insiden yang tidak menguntungkan, situs web resmi: https://www.eropaperalatan.online/jam-tangan-pintar... Ini adalah versi baru dan paling modern yang dirilis pada tahun 2023. Versi ini dirancang dengan layar besar, kaca safir tahan gores dan tahan benturan??. Lini jam tangan pintar ini selalu menonjol dan populer berkat fitur pemantauan kesehatannya: mengukur tekanan darah, detak jantung, kadar oksigen dalam darah, ... dan menghitung kalori yang dikonsumsi untuk mendukung olahraga. Selain itu, konektivitas serbaguna (IOS, Android), panggilan, perpesanan, email, jejaring sosial juga dioptimalkan untuk penggunaan yang lebih lancar dan peningkatan kapasitas baterai hingga 72 jam. Didesain dengan pinggiran baja bulat dengan 3 warna: hitam, putih, merah muda, jam tangan ini dapat menjadi aksesori yang bermanfaat sekaligus dapat menjadi hadiah untuk diberikan kepada teman dan anggota keluarga?? Untuk membeli jam tangan ini dengan cepat dan aman, silahkan order di official page : https://www.eropaperalatan.online/jam-tangan-pintar... Karena promo hanya berlangsung selama 2 hari, jadi buruan. Toko akan memberikan pengiriman gratis dan pembayaran setelah diterima",Penipuan,2023
Video Virus Virtex Dikirim Melalui Whatsapp,Lagi viral nih virus virtex lewat aplikasi Whatsapp. Kalau dapat kiriman video ini jangan dibuka ya…,Penipuan,2023
Ahok Dalang Kebakaran Plumpang,SETELAH BERHARI-HARI PENYIDIK TEMUKAN DALANG KEBARAN PELUMPANG,Fitnah,2023
"DEMOKRAT TOLAK DEKLARASI ANIES, NASDEM DAN PKS MERADANG","DEMOKRAT TOLAK DEKLARASI ANIES, HINGGA MEMBUAT NASDEM DAN PKS MERADANG..!",Politik,2023
LAGU MAWAR BODAS DIMAINKAN OLEH ALEXANDRA DOVGAN,"Lagu sunda “Mawar Bodas” dimainkan Alexandra Dovgan, pianis cilik Russia disaksikan oleh p. William dan istri Catherine E Middleton, Ronaldo, Messi, pemain dan artis top dunia lainnya..",Lain-lain,2023
Rusia Serang Brazil Karena Carnival Satanic,Carnaval berujung banjir :x: Carnaval berujung rudal :white_check_mark:,Internasional,2023
Video Korban Kebakaran Pertamina Penuh Duka Dan Air Mata,Kebakaran Pertamina menyisakan duka & air mata. Kebakaran besar kehilangan jutaan…,Bencana Alam,2023
gunung Merapi meletus di pulau Jawa,Mereka menyebutnya sebagai “Gunung Api Kiamat” untuk gunung Merapi meletus di pulau Jawa.,Bencana Alam,2023
Desakan Dunia agar China Menyerah ke Indonesia,"Usai inflasi Indonesia yang menyerang dengan skala penuh kepada China, dunia menguatkan desakan agar China mengakhiri perang di negaranya karena gejolak yang tidak bisa lagi dibendung oleh serangan TNI dan hacker Indonesia…",Internasional,2023
JOKOWI UMUMKAN CALON PENGGANTI KETUA KPK,"VIRAL ~ Jokowi umum calon pengganti ketua KPK, ternyata ini orang nya ! UPDATE TERKINI DIUMUMKAN DARI ISTANA JOKOWI BOCORKAN CALON PENGGANTI KETUA KPK, INI ORANG NYA",Pemerintahan,2023
HADIAH KAPAL PERANG RUSIA UNTUK FILIPINA,HADIAH RUSIA UNTUK FILIPINA TELAH DIBERIKAN!,Internasional,2023
Jokowi Berjanji : 1 Periode Lagi Seluruh Hutang Negara Indonesia Akan Lunas,MUNDUR SAJALAH SEGALA SESUATU YG KELEWAT BATAS ITU TIDAK BAIK BUAT DIRI SENDIRI ATAU PUN BUAT BANGSA DAN NEGARA,Pemerintahan,2023
Rumah Ahok Jadi Sasaran Pembakaran Warga Plumpang,RUMAH AHOK DIBAK4R MASSA !! ISTRI DAN ANAK JADI KORB4N || BERITA TERKINI,Kriminal,2023
Putin Perintahkan Peluncuran Nuklir ke Amerika,GAWAT!!PUTIN PERINTAHKAN PELUNCURAN NUKLIR UNTUK MENGGILAS AMERIKA!!PERANG DUNIA III TERANCAM PECAH,Internasional,2023
Pesan WhatsApp Undangan Rapat Kinerja Tenaga Kesehatan Dinkes Provinsi DKI Jakarta Maret 2023,"Selamat Pagi, Saya dr.Widyastuti, MKM, (Kepala Dinas Kesehatan Prov.DKI Jakarta), Menyampaikan Perihal Adanya Undangan Rapat Kerja Peningkatan Kinerja Tenaga Kesehatan Dari Ditjen Yankes Kemenkes Untuk dr Zeba Siftonga, MM, No.Peserta 09998885 Yg Akan Dilaksanakan Pada Tgl 14-15 Maret 2023 Di Hotel Aston Semarang Untuk Peserta Di Tanggung Biaya Transportasi Oleh Panitia Penyelenggara Ditjen Yankes Kemenkes Rp.8Jt, Untuk Penjelasan Lebih Lanjut Mengenal Acara Ini Mohon Agar Menghubungi Panitia Penyelenggara Dr.dr. Hendra Kurniawan, M.Kes, Di 081213394448, Di Hubungi Sekarang Juga Sudah Di Tunggu. Mohon Maaf Melalui WA",Penipuan,2023
Surat Ketetapan Keberangkatan Haji (SKKH) Tahun 2023,"SURAT KETETAPAN KEBERANGKATAN HAJI TAHUN 1444 H/2023 M Yang tertanda tangan di bawah ini menetapkan ; Nama : Nur Wahid No. SSPH : 1001077684 No. Paspor : C996978  Alamat : TMN PAGELARAN BLK 12 NO … RW 12 PADASUKA, CIOMAS KABUPATEN BOGOR Nama Ayah : SALIM HADIBROTO Berhak berangkat haji … Penetapan Pelaksanaan Haji , yang selanjutnya berkewajiban melunasi. Biaya perjalanan .. sebesar .. Biaya Perjalanan Ibadah Haji (Bipih) … (lima puluh juta rupiah) selambat-lambatnya 26 Januari 2023 Jam 11.59 WIB. Transfer ke Bendahara Panitia Percepatan Haji Bank Syariah Indonesia No. Rekening 3606189700 an. Nurul Fajri. Jamaah Calon Haji tersebut di atas akan diberangkatkan haji dengan Kelompok Terbang (Kloter Khusus 10 … pada tanggal 20 Juni 2023. Persiapan Teknis Keberangkatan akan diinformasikan secepatnya setelah proses pelunasan Biaya Perjalanan Ibadah Haji (Bipih) ini selesai. Demikian surat ketetapan ini dibuat untuk dipergunakan sebagaimana mestinya. Ditetapkan di : Jakarta Tanggal : 23 Pebruari 2023 No. Ketetapan : S-002778/TAP/II/2023",Penipuan,2023
Surat Penerima Dana Bantuan Oleh DItjen Bimas Islam Kemenag RI,"“KEMENTERIAN AGAMA REPUBLIK INDONESIA DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT ISLAM Jalan M.H Thamrin No. 6 Jakarta 10340 Nomor : B-4251/DJ/Dr.I.I/BIMAS.00.02-01/202 Lampiran: 1 (satu) Hal: Persetujuan Pencairan Dana Bantuan bimbingan Masyarakat Islam Tahun Anggaran 2022 Dengan hormat Sehubungan hasil Koordinasi Penetapan Dana Direktorat Bimbingan Masyarakat Islam Tahun Anggaran 2022, maka dengan ini Direktorat Bimbingan Masyarakat memberitahukan bahwa Pencairan Dana Bantuan Pembangunan Gedung Universiras yang diundur pada hari: Hari: Senin Tanggal: 23 Januari 2023 DAFTAR NAMA-NAMA PENERIMA BANTUAN PEMBANGUNAN GEDUNG UNIVERSITAS /TABEL/ Demikian surat pemberitahuan ini kami sampaikan, atas perhatian dan kerjasamanya kami ucapkan terima kasih. Jakarta, 02 Januari 2023 Direktorat Jenderal Bimbingan Masyarakat Islam /BARCODE/”",Penipuan,2023
Gunung Merapi Alami Erupsi 73 Kali Letusan,GUNUNG MERAPI HARI INI ALAMI ERUPSI 73 KALI LETUSAN ~ berita bencana hari ini,Bencana Alam,2023
Hakim Jaksa Jatuhi Hukuman Mati Pada Putri Candrawati,"KEADILAN DITEGAKKAN, HAKIM JAKSA PUTRI C JATUHI HUKUMAN M4T1",Kriminal,2023
Putri Candrawati dan Sambo Dibawa ke RS Jiwa karena Mengalami Depresi,SETRES DAN DEPRESI SAMBO DAN PUTRI C LANGSUNG DIBAWA KE RUMAH SAKIT J1W4,Fitnah,2023
AS Ancam Warganya Jika Tolak Ikut Perang Melawan Rusia,"KETERLALUAN DI LUAR NALAR!!AKIBAT TOLAK PERANG, DENGAN ANGKUHNYA AS S1KSA WARGANNYA HINGGA BEGINI.",Internasional,2023
Warga AS Salahkan Pemerintahan Biden atas Konflik dengan Rusia,"SITUASI MENCEKAM!!SERANGAN RUSIA PANGGANG AMERIKA, RIBUAN WARGA NGAMUK SALAHKAN PEMERINTAH BIDEN.",Internasional,2023
PJ Heru Hampir Tak Tertolong Karena Dikeroyok Massa di Depan Balaikota,HAMPIR TAK TERSELAMATKAN PARA OJOL NEKAT AMUK HERU BUDI DI DEPAN BALAIKOTA,Pemerintahan,2023
Megawati saya sudah Jelas masuk surga malaikat kenal sama bapak saya Soekarno,"Megawati: Maaf Beribu Maaf Ini, Kenapa Ibu-Ibu Sekarang Kok Seneng Banget Ngikut Pengajian?",Fitnah,2023
AHOK resmi jadi ketua KPK menggantikan Firly,AHOK resmi jadi ketua KPK menggantikan Firly,Pemerintahan,2023
Ganjar saya dari kecil hobi nonton film porno sampai lupa makan,Ganjar saya dari kecil hobi nonton film porno sampai lupa makan,Fitnah,2023
Ziarah di Makkah dan Madinah dihentikan mulai 7 Maret sampai Hari Raya Idul Fitri,"informasi kurang nyaman untuk jamaah umroh, ziarah kota Mekkah dan Madinah di hentikan mulai 7 maret sampai lebaran",Agama,2023
Lowongan Kerja Petugas Haji Tahun 2023,Lowongan Terbaru Petugas Haji 2023 #loker #lowongankerja #ppih #ppiharabsaudi2023 #petugaskesehatanhaji #lowonganterpadu #tiktokberita #fyp,Penipuan,2023
Video Ferdy Sambo Dipindahkan Ke Nusakambangan,Ferdy sambo dipindah ke nusakambangan persiapan eksekusi mati ferdy sambo,Kriminal,2023
PEMAKAMAN FERDY SAMBO DISAKSIKAN JUTAAN ORANG,"GEMPAR SORE INI || DISAKSIKAN JUTAAN ORANG, BEGINI DETIK2 SAMBO DIK£BUM!K4N USAI DI £KS3KUS! BREAKING NEWS KABAR DUKA FERDY SAMBO BAU BVSUK MENYENGAT SAAT AKAN DIKEBUMIKAN",Kriminal,2023
"Pura Saraswati, Bali, Indonesia di pusat Ubud","Pura Saraswati, Bali, Indonesia Pura Saraswati (Pura Taman Saraswati, Pura Taman Saraswati) terletak di pusat Ubud, di wilayah istana kerajaan.",Mitos,2023
AKIBAT ULAH SENDIRI !! SUGIK NUR DIHAJAR TEMAN SATU SEL HINGGA BABAK BELUR BEGINI,AKIBAT ULAH SENDIRI !! SUGIK NUR DIHAJAR TEMAN SATU SEL HINGGA BABAK BELVR BEGINI,Kriminal,2023
"JUTAAN SANTRI TURUN GUNUNG, DESSAK CAK NUN SEGERA DI TANGKAP","JUTAAN SANTRI TURUN GUNUNG, DESSAK CAK NUN SEGERA DI TANGKAP",Kriminal,2023
Indra Bekti Ungkap Alasan Cerai Dengan Aldilla Jelita,AKHIRNYA.! DENSU UNDANG BEKTI PAGI INI-BUKA SUARA BEKTI UNGKAP ALASAN CERAI-ALDILLA JELITA,Lain-lain,2023
Pidato Hillary Clinton di India: ‘Saatnya Melarang Penggunaan Uang Tunai untuk Melawan Perubahan Iklim,Hillary Clinton: Ini waktunya untuk MELARANG Uang Tunai untuk Melawan Perubahan Iklim,Internasional,2023
"MAHFUD MD ENDUS KONGKALIKONG FIRLI & ANIS, PANTAS FORMULA E TIDAK DIUSUT",M4HFUD MD 3NDUS K0NGK4LIKONG FIRLI & ANIS P4NTAS F0RMULA E G4K DI USVT,Kriminal,2023
TANGIS SBY PECAH SEKETIKA !! MENDENGAR HARRY T UNGKAP PERAN YANG SEBENARNYA !!,MEN3GANGKAN !! T4NGIS ESBY P3CAH SEK3TIKA..MEMD3NGAR HARRY T UNGK4P PERAN YANG SEB3NARNYA !!,Kriminal,2023
Anies Baswedan Dekat Dengan Aliran Krsiten Sesat Alpha Omega di Papua,BISA DILIHAT SI ONTA YAMAN NGGAK PEDULI ITU APA YANG PENTING DAPAT SUARA SEGALA CARA DEMI KEKUASAAN,Kriminal,2023
Hakim Wahyu Iman Santoso Alami Kecelakaan Tunggal Usai Vonis Mati Ferdy Sambo,ini bener gasih?? Ya Allah gimna keadaan pa hakim? Ini bener gasih aku dpt infonya dari metro.com di google,Lain-lain,2023
GAMBAR MEGAWATI DAN PUAN BERMAIN SLOT,Nenek lampir pemimpin partai banteng bercula satu lagi main slot bersama anaknya kang matiin mic Kapan lu tobat nek Semoga om ganjar keluar dari partainya nenek lampir partai banteng bercula satu #Cuma orang goblok yang mau jadi babunya nenek lampir partai banteng bercula satu,Fitnah,2023
JONATHAN LATUMAHINA SEORANG NASRANI DAN PENYUSUP DI ORMAS ISLAM,gerombolan kulup banyak menyusup ke ormas2 islam. hati2 dng adu domba dan fitnahan mereka. sejatinya kaum palang jemuran ingin nori bersih dari ulama lurus. Dia bapaknya David .. Dia namanya Jhonatan Latumahina .. Dia pengurus pusat GP Anshor .. Dia banser NU cabang Nasrani …,Fitnah,2023
PESAN WHATSAPP DARI BMKG YANG KABARKAN GUNUNG SINABUNG MELETUS,"Diharapkan kepada warga Sumatera Utara agar selalu siap siaga, diperkirakan Gunung Sinabung akan meletus Minggu malam ini, letusan besar dapat mengakibatkan gempa vulkanik yg berpotensi sangat kuat,dan Malam ini Hujan abu vulkanik akan kembali menyelimuti Kota Medan dan diperkirakan sampai diatas radius 100 km, warga di minta persiapkan Masker , sampaikan BC ini ke semua kontak anda, agar selalu Waspada Siaga-1 BMKG BERASTAGI TANAH KARO…tadi malam sudah terjadi 3x letusan besar.",Bencana Alam,2023
"PDI-P Diblacklist dari Peserta Pilpres, Tak Bisa Usung Capres",“M£g?w?ti Di Panggil B4waslu:exclamation:?Bvntut Uc4pan Ketumny4 P-di Bak4l Di Blackl1st Dari P1lpres. Buntut Hinaannya!! Mak Mega Di Panggil Bawaslu PD1 Bakal Di Blacklist Dari Peserta Pilpres Tak Bisa Usung Capres”,Politik,2023
Ari Lasso Meninggal Dunia Akibat Mengidap Penyakit,INNALILLAHI: Jenajah Tiba di Rumah Duka Ari Lasso Meninggal Dunia Akibat Mengidap Penyakit,Lain-lain,2023
Richard Eliezer Hadiri Pemakaman Ferdy Sambo,"Mengejutkan || Bharada E dan Ronny Hadiri Pemakaman Ferdy Sambo, Disaksisan se-Indonesia",Kriminal,2023
Foto Presiden Joe Biden dan Volodymyr Zelenskyy Bergandengan Tangan,Ini adalah foto yang paling menyedihkan. Zelensky memegang tangan Joey supaya dia tidak pergi kemana-mana,Internasional,2023
Video Salju Turun Pertama Kali Dalam 100 Tahun di Arab Saudi pada Februari 2023,"Sementara itu, di Arab Saudi… Salju turun untuk pertama kali dalam 100 tahun",Internasional,2023
SEPATU MATA-MATA PERANG DUNIA II, Ini adalah sepatu yang dipakai mata-mata sekutu selama perang dunia II untuk menyesatkan jerman dan mengarahkan mereka kearah yang berlawanan . Asli bingung tentara jerman klo begini ceritanya. #ZPUDYK,Mitos,2023
"Dari sepatu yang dipakai oleh para Ibu dan Bapak Pejabat ini, dimanakah masing2 sepatu yang sebelahnya lagi?","Tebak Gambar : Dari sepatu yang dipakai oleh para Ibu dan Bapak Pejabat ini, dimanakah masing2 sepatu yang sebelahnya lagi? A. Ketinggalan Dirumah B. Belinya Emang Satuan C. Disumbangkan D. (Mau Jawab Sendiri di Komen)",Pemerintahan,2023
"BANJIR DI DAERAH KOJA, TANJUNG PRIOK",Banjir daerah Koja tanjung priuk.effeck hujan dari kemarin sampei tadi malam.,Bencana Alam,2023
ANIES AKUI SUAP FIRLI BAHURI AGAR NAMANYA BERSIH,"AKU1 SEMUANYA, AN1ES AKUI SU4P FIRLI BAHURI AG4R NAMANYA BERSIH DICECAR PENYIDIK KPK ANIES AKUI KETERLIBATAN FIRLI BAHURI DI KORUPSI BANSOS DKI(",Pemerintahan,2023
Tawaran kerja sampingan,Nice to meet you. My name is Nina and from MALAYSIA and INDONESIA Marketing Clutch Ltd. My HR Head let me contact this number and I just want to share some work from home freelance job information for you. Are you interested?,Penipuan,2023
Jepang Meluncurkan Investigasi Resmi Terhadap Jutaan Kematian Akibat Vaksin COVID,"Jepang Meluncurkan Investigasi Resmi Terhadap Jutaan Kematian Akibat Vaksin COVID. Jepang telah meluncurkan penyelidikan resmi terhadap jumlah kematian yang belum pernah terjadi sebelumnya setelah menerima vaksinasi Covid-19. Menurut laporan, peneliti Jepang telah diinstruksikan untuk menyelidiki mekanisme di mana suntikan vaksin mRNA eksperimental dapat menyebabkan kematian dan reaksi merugikan yang parah. Fakultas Kedokteran Universitas Hiroshima Prof. Masataka Nagao menyoroti bagaimana tubuh orang yang divaksinasi yang dia otopsi menjadi sangat hangat, dengan suhu tubuh di atas 100 derajat Fahrenheit.",Kesehatan,2023
"Kembali Bertugas di Brimob, Bharada E Nyatakan Perang Lawan Geng Ferdy Sambo",Kembali Bertugas Di BRIMOB:exclamation:?BHARADA E Nyatakan P3rang L4wan Geng FERDY SAMBO…!!,Kriminal,2023
Foto UFO Datang Dari Langit ke Tanah Turki,Sesuatu turun dari langit di Turki. UFO yang aneh,Lain-lain,2023
"Ahok Ditunjuk Jadi Ketua KPK, Tikus – Tikus Berdasi Gemetaran","VIRAL ~ ahok di tunjuk jadi ketua kpk, tikus tikus berdasi gemetaran",Pemerintahan,2023
Video Seorang Murid di Amerika Serikat yang Menodong Pistol ke Gurunya,Ini jelas #BidensAmerica dibawakan kepada Anda oleh #altleftextremist yang terpilih untuk berkuasa,Internasional,2023
Awan Hitam Besar Muncul Sebelum Kecelakaan Kereta di Ohio Tahun 2023,Ini adalah video asli yang diambil setelah #kereta yang membawa bahan kimia di #Ohio meledak. Ini adalah Chernobyl milik Ohio. Bukan UFO. #toxic #chemicals meledak Siapa yang bisa selamat dari ini?,Internasional,2023
